Year,Month,TotalPrimaryEnergyConsumption,TotalPrimaryEnergyProduction,TotalPrimaryEnergyExports,TotalPrimaryEnergyImports,TotalPrimaryEnergyConsumedbytheIndustrialSector,TotalPrimaryEnergyConsumedbytheResidentialSector,PrimaryEnergyStockChange
1979,10,6543.22,5804.28,282.48,1694.04,2193.01,437.79,-672.622
1979,11,6679.04,5571.74,261.39,1551.63,2153.85,631.95,-182.937
1979,12,7337.63,5544.71,257.89,1681.78,2210.13,899.96,369.039
1980,1,7565.02,5808.1,225.59,1679.96,2146.79,1063.2,302.537
1980,2,7123.15,5439.16,208.65,1458.97,1876.84,1075.44,433.663
1980,3,7021.91,5835.66,262.48,1461.06,1945.22,926.4,-12.339
1980,4,6158.45,5591.6,285.79,1325.02,1726.17,640.92,-472.372
1980,5,6007.37,5728.86,343.3,1266.76,1792.6,460.47,-644.948
1980,6,5872.46,5530.7,358.75,1273.09,1709.85,356.14,-572.578
1980,7,6135.45,5388.05,322.02,1195.11,1694.54,296.38,-125.692
1980,8,6063.6,5477.22,311.89,1188.35,1703.87,277.25,-290.075
1980,9,5970.44,5434.37,329.06,1154.37,1842.97,300.26,-289.239
1980,10,6316.59,5632.1,369.31,1233.09,2038.17,434,-179.291
1980,11,6420.24,5467.15,341.19,1212.65,1975.23,644.36,81.628
1980,12,7363.8,5814.53,336.75,1347.8,2095.91,964.38,538.219
1981,1,7639.25,5657.95,260.91,1327.84,1945.13,1192.19,914.377
1981,2,6484.51,5376.11,276.66,1193.05,1576.28,1001.05,192.008
1981,3,6606.21,5888.42,369.18,1173.76,1809.26,796.79,-86.788
1981,4,5875.21,4800.95,324.14,1066.49,1631.37,535.41,331.906
1981,5,5939.55,4943.18,273.02,1112.56,1753.95,424.01,156.835
1981,6,5995.7,5402.97,245.4,1022.35,1668.5,316.95,-184.218
1981,7,6208.44,5752.97,392.64,1121.44,1734.77,281.74,-273.337
1981,8,6112.92,5928.36,419.54,1113.57,1764.17,276.11,-509.471
1981,9,5820.75,5740.06,410.86,1183.72,1768.18,286.68,-692.172
1981,10,6144.08,5897.76,465.5,1160.41,1890.96,452.93,-448.601
1981,11,6138.31,5623.84,439.77,1090.67,1784.71,598.64,-136.429
1981,12,7088.57,5896.68,429.62,1153.16,1941.16,881.81,468.348
1982,1,7448.17,5717.16,316.44,1066.43,1865.01,1165.95,981.013
1982,2,6471.25,5441.98,373.94,872.94,1498.05,1025.19,530.27
1982,3,6544.01,6064.06,440.05,892.76,1634.26,850.44,27.239
1982,4,6040.59,5628.96,425.02,838.66,1517.05,683.34,-2.017
1982,5,5602.38,5622.02,417.92,940.27,1470.77,417.49,-541.984
1982,6,5572.67,5545.07,414.8,992.31,1486.09,323.65,-549.912
1982,7,5835.85,5391.41,383.84,1133.26,1517.65,283.59,-304.981
1982,8,5818.63,5589.07,356.37,1016.79,1569.88,277.11,-430.863
1982,9,5549.27,5328.56,374.18,1017.6,1534.27,323.87,-422.708
1982,10,5726.51,5462,436.06,1041.53,1674.46,406.53,-340.962
1982,11,5978.94,5308.1,348.89,1100.77,1651.59,567.52,-81.028
1982,12,6458.45,5428.26,320.09,947.77,1579.65,822.37,402.519
1983,1,6907.5,5538.02,299.18,921.27,1617.49,1126.92,747.39
1983,2,6065.65,5054.39,262.16,710.56,1481.89,906.21,562.861
1983,3,6431.87,5498.96,316.06,761.37,1565.46,822.11,487.597
1983,4,5869.68,5239.94,310.2,908.76,1506.17,658.63,31.185
1983,5,5692.72,5313.16,343.61,985.75,1525.44,446.74,-262.568
